"organizationalUnit","objectTypeName","ActiveDirectoryRights","IdentityReference","AccessControlType","IsInherited"
"DC=sos,DC=labs","DS-Replication-Get-Changes-All","ExtendedRight","sos\Domain Controllers","Allow","False"
"DC=sos,DC=labs","DS-Clone-Domain-Controller","ExtendedRight","sos\Cloneable Domain Controllers","Allow","False"
"DC=sos,DC=labs","ms-DS-Key-Credential-Link","ReadProperty, WriteProperty","sos\Key Admins","Allow","False"
"DC=sos,DC=labs","ms-DS-Key-Credential-Link","ReadProperty, WriteProperty","sos\Enterprise Key Admins","Allow","False"
"OU=Domain Controllers,DC=sos,DC=labs","All","GenericRead","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","Allow","False"
"OU=Domain Controllers,DC=sos,DC=labs","All","GenericRead","NT AUTHORITY\Authenticated Users","Allow","False"
"OU=Domain Controllers,DC=sos,DC=labs","All","GenericAll","NT AUTHORITY\SYSTEM","Allow","False"
"OU=Domain Controllers,DC=sos,DC=labs","All","CreateChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","sos\Domain Admins","Allow","False"
"OU=Domain Controllers,DC=sos,DC=labs","User-Account-Restrictions","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","User-Account-Restrictions","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","User-Logon","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","User-Logon","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","Membership","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","Membership","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","General-Information","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","General-Information","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","RAS-Information","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","RAS-Information","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","ms-DS-Key-Credential-Link","ReadProperty, WriteProperty","sos\Key Admins","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","ms-DS-Key-Credential-Link","ReadProperty, WriteProperty","sos\Enterprise Key Admins","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","DS-Validated-Write-Computer","Self","CREATOR OWNER","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","DS-Validated-Write-Computer","Self","NT AUTHORITY\SELF","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","Token-Groups","ReadProperty","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","Token-Groups","ReadProperty","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","Token-Groups","ReadProperty","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","ms-TPM-Tpm-Information-For-Computer","WriteProperty","NT AUTHORITY\SELF","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","All","GenericRead","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","All","GenericRead","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","All","GenericRead","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","ms-DS-Allowed-To-Act-On-Behalf-Of-Other-Identity","ReadProperty, WriteProperty","NT AUTHORITY\SELF","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","Private-Information","ReadProperty, WriteProperty, ExtendedRight","NT AUTHORITY\SELF","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","All","GenericAll","sos\Enterprise Admins","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","All","ListChildren","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","All","CreateChild, Self, WriteProperty, ExtendedRight, Delete, GenericRead, WriteDacl, WriteOwner","BUILTIN\Administrators","Allow","True"
"OU=Lab Users,DC=sos,DC=labs","All","GenericRead","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","Allow","False"
"OU=Lab Users,DC=sos,DC=labs","All","GenericRead","NT AUTHORITY\Authenticated Users","Allow","False"
"OU=Lab Users,DC=sos,DC=labs","All","GenericAll","NT AUTHORITY\SYSTEM","Allow","False"
"OU=Lab Users,DC=sos,DC=labs","All","GenericAll","sos\Domain Admins","Allow","False"
"OU=Lab Users,DC=sos,DC=labs","User","CreateChild, DeleteChild","S-1-5-32-548","Allow","False"
"OU=Lab Users,DC=sos,DC=labs","Group","CreateChild, DeleteChild","S-1-5-32-548","Allow","False"
"OU=Lab Users,DC=sos,DC=labs","Computer","CreateChild, DeleteChild","S-1-5-32-548","Allow","False"
"OU=Lab Users,DC=sos,DC=labs","inetOrgPerson","CreateChild, DeleteChild","S-1-5-32-548","Allow","False"
"OU=Lab Users,DC=sos,DC=labs","Print-Queue","CreateChild, DeleteChild","S-1-5-32-550","Allow","False"
"OU=Lab Users,DC=sos,DC=labs","User-Account-Restrictions","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Lab Users,DC=sos,DC=labs","User-Account-Restrictions","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Lab Users,DC=sos,DC=labs","User-Logon","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Lab Users,DC=sos,DC=labs","User-Logon","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Lab Users,DC=sos,DC=labs","Membership","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Lab Users,DC=sos,DC=labs","Membership","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Lab Users,DC=sos,DC=labs","General-Information","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Lab Users,DC=sos,DC=labs","General-Information","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Lab Users,DC=sos,DC=labs","RAS-Information","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Lab Users,DC=sos,DC=labs","RAS-Information","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Lab Users,DC=sos,DC=labs","ms-DS-Key-Credential-Link","ReadProperty, WriteProperty","sos\Key Admins","Allow","True"
"OU=Lab Users,DC=sos,DC=labs","ms-DS-Key-Credential-Link","ReadProperty, WriteProperty","sos\Enterprise Key Admins","Allow","True"
"OU=Lab Users,DC=sos,DC=labs","DS-Validated-Write-Computer","Self","CREATOR OWNER","Allow","True"
"OU=Lab Users,DC=sos,DC=labs","DS-Validated-Write-Computer","Self","NT AUTHORITY\SELF","Allow","True"
"OU=Lab Users,DC=sos,DC=labs","Token-Groups","ReadProperty","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","Allow","True"
"OU=Lab Users,DC=sos,DC=labs","Token-Groups","ReadProperty","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","Allow","True"
"OU=Lab Users,DC=sos,DC=labs","Token-Groups","ReadProperty","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","Allow","True"
"OU=Lab Users,DC=sos,DC=labs","ms-TPM-Tpm-Information-For-Computer","WriteProperty","NT AUTHORITY\SELF","Allow","True"
"OU=Lab Users,DC=sos,DC=labs","All","GenericRead","S-1-5-32-554","Allow","True"
"OU=Lab Users,DC=sos,DC=labs","All","GenericRead","S-1-5-32-554","Allow","True"
"OU=Lab Users,DC=sos,DC=labs","All","GenericRead","S-1-5-32-554","Allow","True"
"OU=Lab Users,DC=sos,DC=labs","ms-DS-Allowed-To-Act-On-Behalf-Of-Other-Identity","ReadProperty, WriteProperty","NT AUTHORITY\SELF","Allow","True"
"OU=Lab Users,DC=sos,DC=labs","Private-Information","ReadProperty, WriteProperty, ExtendedRight","NT AUTHORITY\SELF","Allow","True"
"OU=Lab Users,DC=sos,DC=labs","All","GenericAll","sos\Enterprise Admins","Allow","True"
"OU=Lab Users,DC=sos,DC=labs","All","ListChildren","S-1-5-32-554","Allow","True"
"OU=Lab Users,DC=sos,DC=labs","All","CreateChild, Self, WriteProperty, ExtendedRight, Delete, GenericRead, WriteDacl, WriteOwner","BUILTIN\Administrators","Allow","True"
"OU=Workstations,DC=sos,DC=labs","All","GenericRead","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","Allow","False"
"OU=Workstations,DC=sos,DC=labs","All","GenericRead","NT AUTHORITY\Authenticated Users","Allow","False"
"OU=Workstations,DC=sos,DC=labs","All","GenericAll","NT AUTHORITY\SYSTEM","Allow","False"
"OU=Workstations,DC=sos,DC=labs","All","GenericAll","sos\Domain Admins","Allow","False"
"OU=Workstations,DC=sos,DC=labs","ms-Mcs-AdmPwdExpirationTime","ReadProperty, WriteProperty","NT AUTHORITY\SELF","Allow","False"
"OU=Workstations,DC=sos,DC=labs","ms-Mcs-AdmPwd","WriteProperty","NT AUTHORITY\SELF","Allow","False"
"OU=Workstations,DC=sos,DC=labs","User","CreateChild, DeleteChild","S-1-5-32-548","Allow","False"
"OU=Workstations,DC=sos,DC=labs","inetOrgPerson","CreateChild, DeleteChild","S-1-5-32-548","Allow","False"
"OU=Workstations,DC=sos,DC=labs","Group","CreateChild, DeleteChild","S-1-5-32-548","Allow","False"
"OU=Workstations,DC=sos,DC=labs","Computer","CreateChild, DeleteChild","S-1-5-32-548","Allow","False"
"OU=Workstations,DC=sos,DC=labs","Print-Queue","CreateChild, DeleteChild","S-1-5-32-550","Allow","False"
"OU=Workstations,DC=sos,DC=labs","User-Account-Restrictions","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Workstations,DC=sos,DC=labs","User-Account-Restrictions","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Workstations,DC=sos,DC=labs","User-Logon","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Workstations,DC=sos,DC=labs","User-Logon","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Workstations,DC=sos,DC=labs","Membership","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Workstations,DC=sos,DC=labs","Membership","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Workstations,DC=sos,DC=labs","General-Information","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Workstations,DC=sos,DC=labs","General-Information","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Workstations,DC=sos,DC=labs","RAS-Information","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Workstations,DC=sos,DC=labs","RAS-Information","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Workstations,DC=sos,DC=labs","ms-DS-Key-Credential-Link","ReadProperty, WriteProperty","sos\Key Admins","Allow","True"
"OU=Workstations,DC=sos,DC=labs","ms-DS-Key-Credential-Link","ReadProperty, WriteProperty","sos\Enterprise Key Admins","Allow","True"
"OU=Workstations,DC=sos,DC=labs","DS-Validated-Write-Computer","Self","CREATOR OWNER","Allow","True"
"OU=Workstations,DC=sos,DC=labs","DS-Validated-Write-Computer","Self","NT AUTHORITY\SELF","Allow","True"
"OU=Workstations,DC=sos,DC=labs","Token-Groups","ReadProperty","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","Allow","True"
